x,y_bed
4.619999999999999975e-03,2.637389926360553770e-03
1.383999999999999987e-02,5.519273842155562187e-03
2.300999999999999920e-02,9.460626820409288873e-03
3.214999999999999802e-02,1.089657469172792756e-02
4.123999999999999888e-02,1.046853902548347016e-02
5.027999999999999831e-02,9.935052627420434823e-03
5.929000000000000242e-02,9.397607637610570774e-03
6.825000000000000511e-02,8.903264403028566393e-03
7.717999999999999861e-02,8.168713625133328105e-03
8.605999999999999761e-02,7.440982695729965457e-03
9.489999999999999825e-02,6.831576526504712886e-03
1.037000000000000005e-01,6.453863613688221555e-03
1.124600000000000044e-01,6.058780879184041263e-03
1.211699999999999999e-01,5.648997621732099184e-03
1.298499999999999932e-01,5.353433908997824384e-03
1.384900000000000020e-01,5.118954245025721279e-03
1.470799999999999885e-01,4.759634475220008744e-03
1.556400000000000006e-01,3.948187179644629605e-03
1.641600000000000004e-01,3.542717566857046026e-03
1.726399999999999879e-01,3.159316496739875049e-03
1.810700000000000087e-01,2.817902578887290701e-03
1.894699999999999995e-01,2.139627953722011804e-03
1.978300000000000058e-01,1.781346032381357636e-03
2.061499999999999999e-01,1.426240204258888075e-03
2.144399999999999917e-01,1.207958465074815543e-03
2.226799999999999891e-01,6.610613865280880793e-04
2.308900000000000119e-01,4.256727840307670532e-04
2.390599999999999947e-01,2.321345212056710673e-04
2.471899999999999931e-01,-2.444124920667641834e-05
2.552800000000000069e-01,-1.710920292466642752e-04
2.633300000000000085e-01,-3.420175152612607030e-04
2.713499999999999801e-01,-4.449668109957715507e-04
2.793300000000000227e-01,-5.187585622804174535e-04
2.872700000000000253e-01,-5.713937695850452225e-04
2.951799999999999979e-01,-7.208233323052273822e-04
3.030499999999999861e-01,-8.070699992841063024e-04
3.108799999999999897e-01,-8.840422880371756305e-04
3.186800000000000188e-01,-9.236392846960681229e-04
3.264400000000000079e-01,-9.609412609980713411e-04
3.341600000000000126e-01,-1.013485213876661123e-03
3.418499999999999872e-01,-1.056478834615775598e-03
3.494999999999999774e-01,-1.086313711088937725e-03
3.571199999999999930e-01,-1.108981617006992793e-03
3.647000000000000242e-01,-1.118147257627848416e-03
3.722500000000000253e-01,-1.099880849795905214e-03
3.797599999999999865e-01,-1.049667879821162978e-03
3.872399999999999731e-01,-9.823087074874313658e-04
3.946799999999999753e-01,-9.455827116771426061e-04
4.020900000000000030e-01,-9.366014784327560995e-04
4.094599999999999906e-01,-9.379160328311345225e-04
4.168000000000000038e-01,-9.499741389309055394e-04
4.241099999999999870e-01,-9.629979716419864288e-04
4.313799999999999857e-01,-9.856823615102248450e-04
4.386200000000000099e-01,-1.009795270224607628e-03
4.458199999999999941e-01,-1.046399445783153604e-03
4.529900000000000038e-01,-1.084849656233347103e-03
4.601299999999999835e-01,-1.124928563237587728e-03
4.672299999999999787e-01,-1.188865636173020617e-03
4.742999999999999994e-01,-1.234522432339811137e-03
4.813399999999999901e-01,-1.263587612401006685e-03
4.883500000000000063e-01,-1.282210201096631091e-03
4.953199999999999825e-01,-1.291400152109577811e-03
5.022600000000000398e-01,-1.279542719716251706e-03
5.091700000000000115e-01,-1.200259508080569765e-03
5.160400000000000542e-01,-1.121187374246824337e-03
5.228899999999999659e-01,-1.150004004921668802e-03
5.296999999999999487e-01,-1.210287110659862778e-03
5.364799999999999569e-01,-1.279952112455489798e-03
5.432299999999999907e-01,-1.329064769755954750e-03
5.499500000000000499e-01,-1.350688764867817148e-03
5.566400000000000237e-01,-1.330325016742730506e-03
5.632899999999999574e-01,-1.240453756835679933e-03
5.699199999999999822e-01,-1.225935016114578467e-03
5.765099999999999669e-01,-1.316039989445154466e-03
5.830800000000000427e-01,-1.251251742853736956e-03
5.896099999999999675e-01,-9.575287328989800281e-04
5.961100000000000287e-01,-1.034797725141955874e-03
6.025899999999999590e-01,-1.301056117116748245e-03
6.090299999999999603e-01,-1.013167797824067375e-03
6.154399999999999871e-01,-9.332043753480577346e-04
6.218200000000000394e-01,-9.436591945722768143e-04
6.281799999999999606e-01,-9.456276512923650823e-04
6.344999999999999529e-01,-9.480447642085302164e-04
6.408000000000000362e-01,-9.498823219921420256e-04
6.470599999999999685e-01,-9.521417590441157456e-04
6.532999999999999918e-01,-9.549532526891329944e-04
6.595100000000000406e-01,-9.553081518504013755e-04
6.656800000000000495e-01,-9.562107547991125162e-04
6.718300000000000383e-01,-9.213719562688895250e-04
6.779600000000000071e-01,-4.238949771117207625e-04
6.840500000000000469e-01,-4.347315735354399476e-04
6.901100000000000012e-01,-4.358632166621604731e-04
6.961500000000000465e-01,-4.326992981636459392e-04
7.021600000000000064e-01,-4.336844279081609891e-04
7.081399999999999917e-01,-4.247239894736463072e-04
7.140900000000000025e-01,-2.056035510282007189e-04
7.200199999999999934e-01,-6.692340586638819626e-05
7.259200000000000097e-01,-9.052239845515902962e-05
7.317900000000000515e-01,-6.879850019217165907e-05
7.376300000000000079e-01,2.536899559568144978e-05
7.434399999999999897e-01,1.635843027320286113e-04
7.492299999999999516e-01,1.273544050646905983e-04
7.550000000000000044e-01,2.023271952196081954e-04
7.607300000000000173e-01,3.285431117561313013e-04
7.664400000000000102e-01,3.949672488184297016e-04
7.721200000000000285e-01,3.800447064845523465e-04
7.777800000000000269e-01,3.998473553582496034e-04
7.834100000000000508e-01,5.758124858259205990e-04
7.890099999999999891e-01,6.564156057613435751e-04
7.945900000000000185e-01,6.749449225964315648e-04
8.001399999999999624e-01,6.568439843458243055e-04
8.056699999999999973e-01,6.559281529406977163e-04
8.111699999999999466e-01,7.555615594408244748e-04
8.166400000000000325e-01,9.504053415209056093e-04
8.220899999999999874e-01,9.585804400157364128e-04
8.275099999999999678e-01,9.482063326172984448e-04
8.329100000000000392e-01,9.652830758914206916e-04
8.382899999999999796e-01,1.073677174651836491e-03
8.436399999999999455e-01,1.280217049735352499e-03
8.489600000000000479e-01,1.307586552426408342e-03
8.542600000000000193e-01,1.317157081433954638e-03
8.595300000000000162e-01,1.301922481165769183e-03
8.647799999999999931e-01,1.214718621141508501e-03
8.700099999999999500e-01,9.922246764414843073e-04
8.752100000000000435e-01,7.081399131060665516e-04
8.803900000000000059e-01,6.373267836976925869e-04
8.855399999999999938e-01,3.282501925212355357e-04
8.906699999999999617e-01,-2.819921501098974462e-05
8.957800000000000207e-01,-4.561019423183705125e-04
9.008599999999999941e-01,-5.618038336626866684e-04
9.059199999999999475e-01,-9.456013403597860519e-04
9.109500000000000375e-01,-1.426363284973358866e-03
9.159699999999999509e-01,-1.919550883849485906e-03
9.209500000000000464e-01,-2.429285801768954825e-03
9.259199999999999653e-01,-2.923906076280545670e-03
9.308600000000000207e-01,-3.024835950634466569e-03
9.357799999999999452e-01,-3.496080751371639754e-03
9.406799999999999606e-01,-4.023079564722404841e-03
9.455500000000000016e-01,-4.562283035812069766e-03
9.504000000000000226e-01,-5.133066804646081900e-03
9.552300000000000235e-01,-5.599948845738218599e-03
9.600400000000000045e-01,-5.765843526600214486e-03
9.648200000000000109e-01,-6.319338911960580701e-03
9.695799999999999974e-01,-6.880346435899037209e-03
9.743199999999999639e-01,-6.999468179041281810e-03
9.790400000000000214e-01,-7.533948317270248649e-03
9.837299999999999933e-01,-7.779761631916992312e-03
9.884100000000000108e-01,-8.193100743083277238e-03
9.930600000000000538e-01,-8.584887697100251902e-03
9.976899999999999658e-01,-8.815833483444057705e-03
1.000939999999999941e+00,-8.975292343462696817e-03
1.002809999999999979e+00,-9.326939074714206412e-03
1.004690000000000083e+00,-9.394537902190771422e-03
1.006559999999999899e+00,-9.472196716123594887e-03
1.008440000000000003e+00,-9.523376276055773790e-03
1.010310000000000041e+00,-9.771115056064790319e-03
1.012189999999999923e+00,-9.988174097950592786e-03
1.014059999999999961e+00,-1.009598570215816150e-02
1.015940000000000065e+00,-1.013908859762621337e-02
1.017810000000000104e+00,-1.018309186732495666e-02
1.019689999999999985e+00,-1.036936314460021671e-02
1.021560000000000024e+00,-1.067965583773309440e-02
1.023439999999999905e+00,-1.074891008658275526e-02
1.025309999999999944e+00,-1.076483567416694140e-02
1.027190000000000047e+00,-1.079666361757742644e-02
1.029060000000000086e+00,-1.081841693598191434e-02
1.030939999999999968e+00,-1.083519829428304486e-02
1.032810000000000006e+00,-1.085234513301869264e-02
1.034690000000000110e+00,-1.086156701650761031e-02
1.036559999999999926e+00,-1.093774535216709802e-02
1.038440000000000030e+00,-1.090236472235181844e-02
1.040310000000000068e+00,-1.106177877450114505e-02
1.042189999999999950e+00,-1.129312442735748261e-02
1.044059999999999988e+00,-1.134056163939149535e-02
1.045940000000000092e+00,-1.134907179066759267e-02
1.047809999999999908e+00,-1.139976459847810361e-02
1.049690000000000012e+00,-1.142885024671432513e-02
1.051560000000000050e+00,-1.142829767846419327e-02
1.053439999999999932e+00,-1.141567822912597195e-02
1.055309999999999970e+00,-1.138318843837052112e-02
1.057190000000000074e+00,-1.131326210172929440e-02
1.059059999999999890e+00,-1.111243704888675334e-02
1.060939999999999994e+00,-1.102344044507266863e-02
1.062810000000000032e+00,-1.113347948884435383e-02
1.064689999999999914e+00,-1.111453751219016253e-02
1.066559999999999953e+00,-1.104481064501821284e-02
1.068440000000000056e+00,-1.101635872376413063e-02
1.070310000000000095e+00,-1.092779864636055261e-02
1.072189999999999976e+00,-1.086396495845538650e-02
1.074060000000000015e+00,-1.085346111526859503e-02
1.075939999999999896e+00,-1.085956801222883253e-02
1.077809999999999935e+00,-1.084934851079026770e-02
1.079690000000000039e+00,-1.081143760112990987e-02
1.081560000000000077e+00,-1.076655766324877486e-02
1.083439999999999959e+00,-1.053966790022853144e-02
1.085309999999999997e+00,-1.025669754865289260e-02
1.087190000000000101e+00,-1.014747826715698548e-02
1.089059999999999917e+00,-1.008343906453366967e-02
1.090940000000000021e+00,-9.704456029275608173e-03
1.092810000000000059e+00,-9.483480200355698039e-03
1.094689999999999941e+00,-9.427326720195090826e-03
1.096559999999999979e+00,-9.303397874338455512e-03
1.098440000000000083e+00,-8.916552625738502144e-03
1.100309999999999899e+00,-8.822618796806770691e-03
1.102190000000000003e+00,-8.776235993288375448e-03
1.104060000000000041e+00,-8.697574675894189158e-03
1.105939999999999923e+00,-8.663661153092378636e-03
1.107809999999999961e+00,-8.651464245412361642e-03
1.109690000000000065e+00,-8.601464853519303483e-03
1.111560000000000104e+00,-8.356020653579590216e-03
1.113439999999999985e+00,-8.181773176748226989e-03
1.115310000000000024e+00,-7.913380980254387451e-03
1.117189999999999905e+00,-7.533679589201507619e-03
1.119059999999999944e+00,-7.241118443879139555e-03
1.120940000000000047e+00,-6.877205744258089136e-03
1.122810000000000086e+00,-6.743961913447104987e-03
1.124689999999999968e+00,-6.328845230687157354e-03
1.126560000000000006e+00,-6.230844373838526247e-03
1.128440000000000110e+00,-6.260066503211559122e-03
1.130309999999999926e+00,-6.385160291004377681e-03
1.132190000000000030e+00,-6.402543613242171576e-03
1.134060000000000068e+00,-6.356986644528176723e-03
1.135939999999999950e+00,-6.265053588051858538e-03
1.137809999999999988e+00,-5.810133849678796383e-03
1.139690000000000092e+00,-5.558862217193462352e-03
1.141559999999999908e+00,-5.103456778103347517e-03
1.143440000000000012e+00,-4.635586245013148358e-03
1.145310000000000050e+00,-4.343852525832254084e-03
1.147189999999999932e+00,-3.966762749585522538e-03
1.149059999999999970e+00,-3.668690685856943780e-03
1.150940000000000074e+00,-3.395202816840198288e-03
1.152809999999999890e+00,-3.400941200078578912e-03
1.154700000000000060e+00,-3.496471137884960955e-03
1.156579999999999941e+00,-3.490335502366522739e-03
1.158470000000000111e+00,-3.383548600550247230e-03
1.160360000000000058e+00,-2.958576439840199940e-03
1.162250000000000005e+00,-2.528344016101287048e-03
1.164139999999999953e+00,-2.217283428276272533e-03
1.166039999999999965e+00,-1.783876601157881065e-03
1.167950000000000044e+00,-1.321385540577966295e-03
1.169850000000000056e+00,-8.527710390123486878e-04
