x,y_bed
4.619999999999999975e-03,4.247616890335961272e-03
1.383999999999999987e-02,5.520898299521121225e-03
2.300999999999999920e-02,5.815020916633009684e-03
3.214999999999999802e-02,5.612748954554058062e-03
4.123999999999999888e-02,5.186236717756417119e-03
5.027999999999999831e-02,4.934233652816164516e-03
5.929000000000000242e-02,4.764214393310728726e-03
6.825000000000000511e-02,4.398497559622239518e-03
7.717999999999999861e-02,4.199880776361250914e-03
8.605999999999999761e-02,3.939456423887247385e-03
9.489999999999999825e-02,3.554571295862710926e-03
1.037000000000000005e-01,3.191834545749299649e-03
1.124600000000000044e-01,2.831952959013635859e-03
1.211699999999999999e-01,2.462651573795322617e-03
1.298499999999999932e-01,2.102558542989748248e-03
1.384900000000000020e-01,1.747422058628577898e-03
1.470799999999999885e-01,1.402269925374810457e-03
1.556400000000000006e-01,1.090902257429790523e-03
1.641600000000000004e-01,7.757661440841254891e-04
1.726399999999999879e-01,6.515412347213347640e-04
1.810700000000000087e-01,3.511661188091839319e-04
1.894699999999999995e-01,3.737283613299620822e-05
1.978300000000000058e-01,-3.373362952116177216e-05
2.061499999999999999e-01,-2.943507424162673239e-04
2.144399999999999917e-01,-4.650359670104337864e-04
2.226799999999999891e-01,-5.197125512366076571e-04
2.308900000000000119e-01,-6.168438392148748416e-04
2.390599999999999947e-01,-8.428726220363818656e-04
2.471899999999999931e-01,-9.507844126531707308e-04
2.552800000000000069e-01,-9.936852647890652510e-04
2.633300000000000085e-01,-9.866521182202185256e-04
2.713499999999999801e-01,-1.009032348695303736e-03
2.793300000000000227e-01,-1.038780360573968902e-03
2.872700000000000253e-01,-1.144550810013714344e-03
2.951799999999999979e-01,-1.250374589789892115e-03
3.030499999999999861e-01,-1.301895056467913640e-03
3.108799999999999897e-01,-1.336678212364652337e-03
3.186800000000000188e-01,-1.386544069578160912e-03
3.264400000000000079e-01,-1.440206458445813511e-03
3.341600000000000126e-01,-1.448043840960486998e-03
3.418499999999999872e-01,-1.450143486764072717e-03
3.494999999999999774e-01,-1.470930026996409949e-03
3.571199999999999930e-01,-1.494995200442084636e-03
3.647000000000000242e-01,-1.515517005537322416e-03
3.722500000000000253e-01,-1.549363436144647523e-03
3.797599999999999865e-01,-1.530126719463147621e-03
3.872399999999999731e-01,-1.460323425357308537e-03
3.946799999999999753e-01,-1.424276886178476448e-03
4.020900000000000030e-01,-1.399192110678410938e-03
4.094599999999999906e-01,-1.388011682466820662e-03
4.168000000000000038e-01,-1.403244617195962629e-03
4.241099999999999870e-01,-1.439956266722537117e-03
4.313799999999999857e-01,-1.448612713786401893e-03
4.386200000000000099e-01,-1.485134824913461908e-03
4.458199999999999941e-01,-1.477294180558165297e-03
4.529900000000000038e-01,-1.481173790095722696e-03
4.601299999999999835e-01,-1.493204343993155504e-03
4.672299999999999787e-01,-1.530874495062764431e-03
4.742999999999999994e-01,-1.625939263420621977e-03
4.813399999999999901e-01,-1.685568374216357256e-03
4.883500000000000063e-01,-1.692935636535523956e-03
4.953199999999999825e-01,-1.683813005257603097e-03
5.022600000000000398e-01,-1.682756553750436659e-03
5.091700000000000115e-01,-1.668258410106217803e-03
5.160400000000000542e-01,-1.617474948862358949e-03
5.228899999999999659e-01,-1.616742440713677797e-03
5.296999999999999487e-01,-1.555961371906714429e-03
5.364799999999999569e-01,-1.467603051801534900e-03
5.432299999999999907e-01,-1.444899792735802923e-03
5.499500000000000499e-01,-1.449810640200531421e-03
5.566400000000000237e-01,-1.378722152361064280e-03
5.632899999999999574e-01,-1.408601901870572357e-03
5.699199999999999822e-01,-1.434779790798043977e-03
5.765099999999999669e-01,-1.442344120749376995e-03
5.830800000000000427e-01,-1.427593792028918149e-03
5.896099999999999675e-01,-1.439486459198229375e-03
5.961100000000000287e-01,-1.408947549412296711e-03
6.025899999999999590e-01,-1.418909405335498555e-03
6.090299999999999603e-01,-1.423501255032995783e-03
6.154399999999999871e-01,-1.423706282651508162e-03
6.218200000000000394e-01,-1.414019695381745325e-03
6.281799999999999606e-01,-1.412340531770131177e-03
6.344999999999999529e-01,-1.413607440555170788e-03
6.408000000000000362e-01,-1.403519656987115959e-03
6.470599999999999685e-01,-1.410747125702314616e-03
6.532999999999999918e-01,-1.410976632843019725e-03
6.595100000000000406e-01,-1.403107425573203422e-03
6.656800000000000495e-01,-1.372328274387510458e-03
6.718300000000000383e-01,-1.311687811652530958e-03
6.779600000000000071e-01,-1.310060480079818825e-03
6.840500000000000469e-01,-1.296832105621896145e-03
6.901100000000000012e-01,-1.211997822016024941e-03
6.961500000000000465e-01,-1.178493042194407115e-03
7.021600000000000064e-01,-9.861423368965019799e-04
7.081399999999999917e-01,-8.988389444676552365e-04
7.140900000000000025e-01,-9.235281489638227882e-04
7.200199999999999934e-01,-9.059468396555763262e-04
7.259200000000000097e-01,-9.020649821112129403e-04
7.317900000000000515e-01,-9.124968511032182294e-04
