x,y_bed
4.619999999999999975e-03,2.831117871313112554e-03
1.383999999999999987e-02,5.699552959523481593e-03
2.300999999999999920e-02,9.886960957907196465e-03
3.214999999999999802e-02,1.150039283503659360e-02
4.123999999999999888e-02,1.159459670358151638e-02
5.027999999999999831e-02,1.049479390205205684e-02
5.929000000000000242e-02,9.952894772458838538e-03
6.825000000000000511e-02,8.916923107703251042e-03
7.717999999999999861e-02,8.408443656217082229e-03
8.605999999999999761e-02,7.480330390162656835e-03
9.489999999999999825e-02,7.084564770220548591e-03
1.037000000000000005e-01,6.722071201187392736e-03
1.124600000000000044e-01,6.372998901838157482e-03
1.211699999999999999e-01,5.957973438114689581e-03
1.298499999999999932e-01,5.610899769813656318e-03
1.384900000000000020e-01,5.182513962540979784e-03
1.470799999999999885e-01,4.763393850161457173e-03
1.556400000000000006e-01,3.959459972641702664e-03
1.641600000000000004e-01,3.545156891693064700e-03
1.726399999999999879e-01,3.154051357176193733e-03
1.810700000000000087e-01,2.788593397401637006e-03
1.894699999999999995e-01,2.056236959864328126e-03
1.978300000000000058e-01,1.692313712648251152e-03
2.061499999999999999e-01,1.334451310603931634e-03
2.144399999999999917e-01,1.027052909837002483e-03
2.226799999999999891e-01,3.423565553272039669e-04
2.308900000000000119e-01,2.901599512940853461e-04
2.390599999999999947e-01,-4.048954505419120518e-05
2.471899999999999931e-01,-2.250353835634051885e-04
2.552800000000000069e-01,-4.402874601947470907e-04
2.633300000000000085e-01,-4.989618429490260331e-04
2.713499999999999801e-01,-6.141085740446469233e-04
2.793300000000000227e-01,-8.037302107988396511e-04
2.872700000000000253e-01,-8.654846408652865346e-04
2.951799999999999979e-01,-9.384961796693326152e-04
3.030499999999999861e-01,-9.611661549663055816e-04
3.108799999999999897e-01,-1.005570739059912779e-03
3.186800000000000188e-01,-1.037796988984288895e-03
3.264400000000000079e-01,-1.125579293301212560e-03
3.341600000000000126e-01,-1.244021468583232865e-03
3.418499999999999872e-01,-1.302477350342117748e-03
3.494999999999999774e-01,-1.324422430439745925e-03
3.571199999999999930e-01,-1.333018309769190817e-03
3.647000000000000242e-01,-1.326600804373832126e-03
3.722500000000000253e-01,-1.292787121882639067e-03
3.797599999999999865e-01,-1.204309630365876229e-03
3.872399999999999731e-01,-1.063945578519200161e-03
3.946799999999999753e-01,-1.004839046130402442e-03
4.020900000000000030e-01,-9.852619118095879824e-04
4.094599999999999906e-01,-9.758960467672606054e-04
4.168000000000000038e-01,-9.870306834852010137e-04
4.241099999999999870e-01,-1.002683691735716540e-03
4.313799999999999857e-01,-1.031129874847228501e-03
4.386200000000000099e-01,-1.062751831214445164e-03
