x,y_bed
4.619999999999999975e-03,4.224871606046385654e-03
1.383999999999999987e-02,5.915721845008191544e-03
2.300999999999999920e-02,5.855675433897637727e-03
3.214999999999999802e-02,5.423323344992124137e-03
4.123999999999999888e-02,5.183339662844874823e-03
5.027999999999999831e-02,4.969133952247504517e-03
5.929000000000000242e-02,4.780806567884955498e-03
6.825000000000000511e-02,4.438927744998465326e-03
7.717999999999999861e-02,4.207956345756972208e-03
8.605999999999999761e-02,3.939607282330980127e-03
9.489999999999999825e-02,3.569040327537406805e-03
1.037000000000000005e-01,3.212890176032152326e-03
1.124600000000000044e-01,2.844355444782891307e-03
1.211699999999999999e-01,2.468504665912422697e-03
1.298499999999999932e-01,2.106951206578124968e-03
1.384900000000000020e-01,1.749302348154334243e-03
1.470799999999999885e-01,1.402204630229072482e-03
1.556400000000000006e-01,1.068387054628272895e-03
1.641600000000000004e-01,7.407474119200083444e-04
1.726399999999999879e-01,6.500825760939957102e-04
1.810700000000000087e-01,3.515398590391415751e-04
1.894699999999999995e-01,1.579874045869563348e-05
1.978300000000000058e-01,-3.537966631137775099e-05
2.061499999999999999e-01,-3.174440764405030212e-04
2.144399999999999917e-01,-4.602154073608164496e-04
2.226799999999999891e-01,-5.388309611248427071e-04
2.308900000000000119e-01,-6.382521640134350633e-04
2.390599999999999947e-01,-8.564810333313479639e-04
2.471899999999999931e-01,-9.452843517753840071e-04
2.552800000000000069e-01,-1.008997095277299697e-03
2.633300000000000085e-01,-9.962489149166419387e-04
2.713499999999999801e-01,-1.020229524960451079e-03
2.793300000000000227e-01,-1.054281917838722571e-03
2.872700000000000253e-01,-1.167432379665898261e-03
2.951799999999999979e-01,-1.268997263519821639e-03
3.030499999999999861e-01,-1.317511823673181903e-03
3.108799999999999897e-01,-1.349919041973028340e-03
3.186800000000000188e-01,-1.396867779092316039e-03
3.264400000000000079e-01,-1.443684170487026606e-03
3.341600000000000126e-01,-1.448479614623354728e-03
3.418499999999999872e-01,-1.452549864869810562e-03
3.494999999999999774e-01,-1.482688230378961369e-03
3.571199999999999930e-01,-1.506181940928072753e-03
3.647000000000000242e-01,-1.523435890067741365e-03
3.722500000000000253e-01,-1.554905551519355882e-03
3.797599999999999865e-01,-1.540344369486008327e-03
3.872399999999999731e-01,-1.470552429627930641e-03
3.946799999999999753e-01,-1.435483583031438000e-03
4.020900000000000030e-01,-1.402688874709994999e-03
4.094599999999999906e-01,-1.394349162480768012e-03
4.168000000000000038e-01,-1.409638138651388714e-03
4.241099999999999870e-01,-1.439031507073384487e-03
4.313799999999999857e-01,-1.448308544650180139e-03
4.386200000000000099e-01,-1.486224354597660445e-03
4.458199999999999941e-01,-1.483167288877576019e-03
4.529900000000000038e-01,-1.489110858536325018e-03
4.601299999999999835e-01,-1.501706468285612765e-03
4.672299999999999787e-01,-1.542751162219358797e-03
4.742999999999999994e-01,-1.640039091898430742e-03
4.813399999999999901e-01,-1.702137665017075096e-03
4.883500000000000063e-01,-1.709372537983583264e-03
4.953199999999999825e-01,-1.699744216702688123e-03
5.022600000000000398e-01,-1.698528377300755239e-03
5.091700000000000115e-01,-1.682785707842509660e-03
5.160400000000000542e-01,-1.621984104841427566e-03
5.228899999999999659e-01,-1.619299766357923127e-03
5.296999999999999487e-01,-1.561699234171924199e-03
5.364799999999999569e-01,-1.477833277000603889e-03
5.432299999999999907e-01,-1.451576649998146014e-03
