x,y_bed
6.541700000000000292e-01,-2.126905406387585157e-03
6.624999999999999778e-01,-2.081592795529756817e-03
6.708300000000000374e-01,-2.251784892458447585e-03
6.791700000000000514e-01,-2.214634227296867139e-03
6.875000000000000000e-01,-2.360203711862291290e-03
6.958299999999999486e-01,-2.493209029326595542e-03
7.041699999999999626e-01,-2.498284160043383415e-03
7.125000000000000222e-01,-2.445024404628653135e-03
7.208299999999999708e-01,-2.048498278413097857e-03
7.291699999999999848e-01,-1.823964812187911077e-03
7.375000000000000444e-01,-2.363444814878942236e-03
7.458299999999999930e-01,-2.482916036338166793e-03
7.541700000000000070e-01,-2.492757654706626545e-03
7.624999999999999556e-01,-2.476617390663409142e-03
7.708300000000000152e-01,-2.461177239509084163e-03
7.791700000000000292e-01,-2.436896294915802744e-03
7.874999999999999778e-01,-2.468407873333647307e-03
7.958300000000000374e-01,-2.441627919164927798e-03
8.041700000000000514e-01,-2.485089816900393905e-03
8.125000000000000000e-01,-2.513789402003697038e-03
8.208299999999999486e-01,-2.523900498339246533e-03
8.291699999999999626e-01,-2.527168284071503075e-03
8.375000000000000222e-01,-2.529599618363537021e-03
8.458299999999999708e-01,-2.532505618318698325e-03
8.541699999999999848e-01,-2.534860447410366459e-03
8.625000000000000444e-01,-2.542786909590412977e-03
8.708299999999999930e-01,-2.544362793304400135e-03
8.791700000000000070e-01,-2.545027327434916907e-03
8.874999999999999556e-01,-2.545105011374831395e-03
8.958300000000000152e-01,-2.545246475156951252e-03
9.041700000000000292e-01,-2.545605865422866446e-03
9.124999999999999778e-01,-2.548048975617320244e-03
9.208300000000000374e-01,-2.550446108798859295e-03
9.291700000000000514e-01,-2.529445507298111462e-03
9.375000000000000000e-01,-2.530842070050469926e-03
9.458299999999999486e-01,-2.533103632972739418e-03
9.541699999999999626e-01,-2.535952745671863837e-03
9.625000000000000222e-01,-2.540666026875483194e-03
9.708299999999999708e-01,-2.546449230531223559e-03
9.791699999999999848e-01,-2.548657418373620216e-03
9.875000000000000444e-01,-2.551293999580984875e-03
9.958299999999999930e-01,-2.551168383043763734e-03
1.001670000000000060e+00,-2.550431360773375289e-03
1.004999999999999893e+00,-2.549888921887167020e-03
1.008329999999999949e+00,-2.550196631097884255e-03
1.011670000000000069e+00,-2.550402132824720197e-03
1.014999999999999902e+00,-2.549291800577157055e-03
1.018329999999999957e+00,-2.548894499349699510e-03
1.021670000000000078e+00,-2.548656237449608425e-03
1.024999999999999911e+00,-2.548815922278169048e-03
1.028329999999999966e+00,-2.548689752150680964e-03
1.031670000000000087e+00,-2.548381907162140282e-03
1.034999999999999920e+00,-2.547694069477657655e-03
1.038329999999999975e+00,-2.546282224758298317e-03
1.041670000000000096e+00,-2.544661922719588382e-03
1.044999999999999929e+00,-2.542327671507240913e-03
1.048329999999999984e+00,-2.539931964119806172e-03
1.051670000000000105e+00,-2.535966422946433693e-03
1.054999999999999938e+00,-2.528007818600940156e-03
1.058329999999999993e+00,-2.505735145527824420e-03
1.061669999999999892e+00,-2.260054479297927358e-03
1.064999999999999947e+00,-1.862919614441223585e-03
1.068330000000000002e+00,-1.629501509248197644e-04
1.071669999999999900e+00,-9.760088936641188317e-05
1.074999999999999956e+00,-1.086915533621973795e-05
1.078330000000000011e+00,3.093175690613047309e-04
1.081669999999999909e+00,4.718992018568079778e-04
1.084999999999999964e+00,1.481419414453884285e-03
1.088330000000000020e+00,1.930253983530144744e-03
1.091669999999999918e+00,1.999043826003574394e-03
1.094999999999999973e+00,2.145506787775445720e-03
1.098330000000000028e+00,3.145430954488754802e-03
1.101669999999999927e+00,2.611556676293085022e-03
1.104999999999999982e+00,2.596521606812247224e-03
1.108330000000000037e+00,3.516122222556218244e-03
1.111669999999999936e+00,3.812577431705419830e-03
1.114999999999999991e+00,3.843620857903871056e-03
1.118330000000000046e+00,3.912066840145190898e-03
1.121669999999999945e+00,4.098813201470669770e-03
1.125000000000000000e+00,3.902584185272224386e-03
1.128330000000000055e+00,5.593175072913201228e-03
1.131669999999999954e+00,5.647539708026802149e-03
1.135000000000000009e+00,5.639500683667263842e-03
1.138330000000000064e+00,5.206209683231376693e-03
1.141669999999999963e+00,3.785472250812026759e-03
1.145000000000000018e+00,3.338492701353266458e-03
1.148330000000000073e+00,1.946261938315095238e-03
1.154279999999999973e+00,1.381020841564522010e-03
1.162840000000000096e+00,9.509713596930237378e-06
1.171410000000000062e+00,-1.782399609181251933e-04
1.179969999999999963e+00,-1.081889777840718860e-03
1.188530000000000086e+00,-2.140695641888339974e-03
1.197089999999999987e+00,-2.349986218910495722e-03
1.205659999999999954e+00,-2.319738788254433956e-03
1.214220000000000077e+00,-2.280929988543258652e-03
1.222779999999999978e+00,-2.347560705186509718e-03
1.231340000000000101e+00,-2.462096909046935372e-03
1.239910000000000068e+00,-2.508866641692055616e-03
1.248469999999999969e+00,-2.473195340451578902e-03
1.257030000000000092e+00,-3.601468831100693288e-04
1.265589999999999993e+00,-1.535947402267238363e-04
1.274159999999999959e+00,-1.750174571366056638e-04
1.282720000000000082e+00,-4.131843341574399251e-04
1.291279999999999983e+00,-4.237222749990277471e-04
1.299840000000000106e+00,-2.414902636293367842e-03
1.308410000000000073e+00,-2.753242994569093244e-03
1.316969999999999974e+00,-3.012092050029733462e-03
1.325530000000000097e+00,-2.538183842887248992e-03
1.334089999999999998e+00,-2.530498653896622561e-03
1.342659999999999965e+00,-2.516396586882083900e-03
1.351220000000000088e+00,-2.530723242826435956e-03
1.359779999999999989e+00,-2.550999852520028071e-03
1.368339999999999890e+00,-2.554405161078234995e-03
1.376910000000000078e+00,-2.552887991017933293e-03
1.385469999999999979e+00,-2.544908789404845550e-03
1.394030000000000102e+00,-2.557357847755381206e-03
1.402590000000000003e+00,-2.614305607234350404e-03
1.411159999999999970e+00,-2.548259066802257070e-03
1.419720000000000093e+00,-2.542091477166353967e-03
1.428279999999999994e+00,-2.568846295490449447e-03
1.436839999999999895e+00,-2.607294481896158846e-03
1.445410000000000084e+00,-2.496954467228876262e-03
1.453969999999999985e+00,-2.477205730402707619e-03
1.462530000000000108e+00,-2.603800658675706724e-03
1.471090000000000009e+00,-2.509228079008810845e-03
1.479659999999999975e+00,-2.452534576070218575e-03
1.488220000000000098e+00,-2.499209154545710063e-03
1.496779999999999999e+00,-2.542487418932799434e-03
1.505339999999999900e+00,-2.529053105442225554e-03
1.513910000000000089e+00,-2.524991200296841480e-03
1.522469999999999990e+00,-2.514552907256260329e-03
1.531029999999999891e+00,-2.437635332702749093e-03
1.539590000000000014e+00,-1.721793164668554942e-04
1.548159999999999981e+00,-1.755698460570640201e-04
1.556720000000000104e+00,-5.438831825847001769e-04
1.565280000000000005e+00,-2.954295872246170702e-04
1.573839999999999906e+00,-1.989739627099467757e-04
1.582410000000000094e+00,-2.004002014128793141e-04
1.590969999999999995e+00,-2.459070193001509572e-04
1.599529999999999896e+00,-1.878149859262292359e-03
1.608090000000000019e+00,-2.217617875047503927e-03
1.616659999999999986e+00,-2.095130613442911655e-03
1.625220000000000109e+00,-1.964453201821399989e-03
1.633780000000000010e+00,-2.038373285017820117e-03
1.642339999999999911e+00,-2.248680947489678159e-03
1.650910000000000100e+00,-1.978825397146155400e-03
1.659470000000000001e+00,-6.333354898140292413e-04
1.668029999999999902e+00,-8.534769793845920199e-04
1.676590000000000025e+00,-1.749949317358745829e-04
1.685159999999999991e+00,-1.805103873005629769e-04
1.693719999999999892e+00,-3.114515645692740586e-04
1.702280000000000015e+00,-9.863996006544922899e-04
1.710839999999999916e+00,-2.092704826038159667e-03
1.719410000000000105e+00,-2.425418894062719190e-03
1.727970000000000006e+00,-2.506636207026996695e-03
1.736529999999999907e+00,-2.489265756972506433e-03
1.745090000000000030e+00,-2.486513884107414106e-03
1.753659999999999997e+00,-2.513200504039496928e-03
1.762219999999999898e+00,-2.633380479129833300e-03
1.770780000000000021e+00,-2.602881219229973182e-03
1.779339999999999922e+00,-2.525214744002423489e-03
1.787910000000000110e+00,-2.536932742282003647e-03
1.796470000000000011e+00,-2.542676346352654680e-03
1.805029999999999912e+00,-2.658590878059847659e-03
1.813590000000000035e+00,-2.592816349499140957e-03
1.822160000000000002e+00,-2.546446403094758046e-03
1.830719999999999903e+00,-2.511505777819122293e-03
1.839280000000000026e+00,-2.397861420840795635e-03
1.847839999999999927e+00,-2.286370901613756119e-03
1.856409999999999894e+00,-2.127885203741275953e-03
1.864970000000000017e+00,-1.916057749893428693e-03
1.873529999999999918e+00,-1.925839240848235823e-03
